,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3590,1.1733528,-0.508173,0.5687318,-0.74177235,-0.43344864,0.60083103,0.7254815,-0.5301629,0.60544103,-0.5093468,-0.4435451,0.44347247,-1.0488667,-0.75459844,-1.0093926,0.77387965,1
10332,0.19933362,-0.16760607,0.7912901,-0.74177235,-0.39763385,0.98856866,0.3107242,-0.79229546,-0.2553106,-0.53739005,-0.38955408,0.8787521,-1.0602671,-0.6808721,-1.0093926,1.4784635,1
10908,0.48239598,0.024323406,1.1790007,-0.40719172,-0.21217938,0.31200612,1.1717517,-1.2200729,0.88858706,-1.0315293,-0.05392038,1.1012523,-1.0602671,-1.1043047,-1.0093926,0.7423083,1
9581,1.3763169,-1.0473027,0.6897693,0.1576954,-1.0644995,0.6119868,1.3691992,-1.2200729,1.1537668,-0.92083997,-0.91348714,0.03872378,-1.0602671,-1.1872264,-1.0093926,0.32561824,1
5302,0.8384844,-0.66805804,1.8204967,-0.27058566,-1.0644995,2.1916792,2.1650589,-1.1758429,0.47037873,-1.0315293,-0.6396244,0.96687263,-1.0602671,-1.0614468,-1.0093926,0.01203005,1
6119,-0.13674015,1.2718151,-0.1888461,1.8888098,0.66956955,-0.1322756,-0.15640566,0.91632426,-0.3536648,0.68989605,1.9188377,-0.110752605,0.97249955,0.5427643,0.8009468,-0.15519649,2
8709,1.4252623,-0.4932529,0.9165201,0.049680304,-0.4383615,0.21551469,1.7079322,-1.2200729,1.6757647,-0.67980796,-0.49853116,0.7938845,-1.0602671,-1.1872264,-1.0093926,0.3224456,1
4666,0.2596401,0.29565358,0.8824362,-0.74177235,-0.16377743,1.015274,0.80363977,-0.69007313,-0.3536648,-0.25144875,0.11430725,0.81043047,-1.0602671,-0.54233664,-1.0093926,1.1590028,1
15500,1.2830815,-1.0473027,0.9953978,-0.42904794,-1.0644995,0.9287848,1.208523,-1.1532984,0.55436456,-0.60295194,-0.91348714,-0.110752605,-0.84204316,-1.1872264,-0.8160759,0.25206637,1
2827,0.39516398,-1.0473027,0.29402804,-0.74177235,-1.0644995,0.17627397,0.71221966,-0.62793386,-0.29421785,-0.60639226,-0.91348714,-0.110752605,0.20779538,-0.85013825,0.25640985,-0.15519649,1
15939,1.4058259,-1.0473027,0.8766302,0.57267237,-1.0644995,0.61855346,1.7252612,-1.2200729,1.6134473,-1.0315293,-0.72946775,0.47132936,-1.0602671,-1.1872264,-1.0093926,0.27923974,1
9902,1.1579442,-1.0304644,1.6540357,-0.6190652,-0.44466674,-0.02703708,1.3017642,-1.2200729,2.1235533,-1.0315293,-0.6685335,0.55556244,-1.0602671,-1.1872264,-1.0093926,-0.15519649,1
14307,0.34692207,-0.58227897,0.43548456,-0.74177235,-0.69118655,0.87579685,0.6665408,-0.75095004,-0.19534183,-0.48181814,-0.91348714,0.5053326,-1.0602671,-0.6888557,-1.0093926,0.7995111,1
15858,1.0346327,-0.8480002,1.077839,0.13326176,-1.0644995,1.0875301,1.6622243,-1.2200729,0.9537575,-0.7844891,-0.43604916,0.76216495,-1.0602671,-1.1872264,-1.0093926,0.4998636,1
959,1.4810871,-1.0473027,0.38953096,0.5448656,-1.0644995,0.4424773,1.3420408,-1.2200729,1.0439745,-0.92318296,-0.91348714,-0.110752605,-0.8162179,-1.1872264,-1.0093926,0.4449552,2
15805,1.5384332,-1.0473027,1.1261859,0.3445456,-1.0644995,0.91174984,1.6312382,-1.2200729,1.158834,-0.75556225,-0.7209837,0.039640598,-1.0602671,-1.1872264,-1.0093926,0.042308632,1
6390,1.1440394,-1.0473027,0.16017692,-0.0764507,-1.0644995,0.6807779,0.8286628,-1.2200729,1.045378,-1.0315293,-0.91348714,0.36925495,-1.0602671,-1.1872264,-1.0093926,0.99168706,1
270,-0.13674015,-0.8537119,-0.1888461,-0.74177235,-1.0644995,-0.1322756,-0.15640566,-0.8030583,-0.3536648,-1.0315293,-0.91348714,1.336057,-1.0602671,-1.1872264,-1.0093926,-0.15519649,1
12660,1.1620207,-1.0473027,0.2035405,-0.3067243,-1.0644995,0.7913565,0.8336947,-1.2200729,0.80577916,-1.0315293,-0.91348714,0.4689207,-1.0602671,-1.1872264,-1.0093926,1.1579125,1
6322,1.543432,-1.0473027,1.3638924,0.33442605,-0.7915276,0.60389715,1.6196487,-1.2200729,1.5270026,-0.67324966,-0.39906532,0.4847742,-1.0602671,-1.1872264,-1.0093926,0.21202669,1
6274,1.1991483,-1.0473027,0.69742984,-0.74177235,-0.57515776,0.7234923,0.5348064,-0.8934022,0.82680994,-0.5315341,-0.91348714,0.117319986,-1.0602671,-0.9182104,-1.0093926,0.13312636,1
8842,0.4258043,-0.9980944,0.27323157,-0.74177235,-1.0644995,0.32510266,0.8676415,-0.62681484,0.3215046,-0.78396463,-0.91348714,-0.110752605,-0.11764015,-0.85009295,-0.20368208,-0.15519649,1
