'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
0.093271,0.092387,0.953891,0.389753,0.979765,0.151946,1
0.435033,0.339074,0.839866,0.358073,0.911163,0.12834,1
0.346228,0.277072,0.868136,0.411477,0.851158,0.169441,2
0.085478,0.085285,0.957377,0.522821,0.959882,0.273373,1
0.770393,0.529441,0.758711,0.307387,0.850918,0.094911,1
0.239774,0.214844,0.894999,0.295891,0.976878,0.087628,1
0.194828,0.192196,0.904165,0.418665,0.935378,0.175367,3
1.985367,0.910813,0.641019,0.217803,0.672513,0.047631,1
0.571464,0.35509,0.841869,0.268861,0.940655,0.072335,2
0.44821,0.369912,0.822775,0.32611,0.924301,0.107064,1
0.098146,0.097144,0.951528,0.318422,0.992638,0.101397,1
0.216587,0.204901,0.898714,0.362473,0.954987,0.131479,3
0.389323,0.326783,0.842805,0.225597,0.977378,0.051072,3
0.477969,0.356292,0.833654,0.332963,0.8924,0.111213,1
0.176942,0.169589,0.915931,0.667729,0.926206,0.445899,6
0.957589,0.58595,0.740208,0.289861,0.886609,0.084146,1
0.555326,0.349539,0.843392,0.268154,0.942523,0.07206,2
0.201518,0.167254,0.919354,0.296716,0.981991,0.088086,1
0.126503,0.122076,0.939389,0.3039,0.989791,0.092371,1
0.169153,0.160264,0.920737,0.496979,0.895521,0.247058,2
0.595488,0.399806,0.818712,0.358169,0.848034,0.128421,1
0.162921,0.162699,0.918672,0.443865,0.920602,0.19705,1
0.160649,0.160036,0.920044,0.492313,0.895608,0.242416,3
0.151143,0.150921,0.924562,0.330112,0.982319,0.109007,3
0.142778,0.13904,0.930851,0.451492,0.940937,0.203933,3
0.18588,0.177971,0.911802,0.353426,0.973752,0.124959,2
0.244534,0.218736,0.893145,0.401623,0.913157,0.161374,1
0.223905,0.208432,0.897309,0.425129,0.91847,0.180852,3
1.346464,0.753418,0.67878,0.26331,0.714969,0.069484,1
0.133344,0.125426,0.938054,0.487387,0.92913,0.237603,2
0.121855,0.115514,0.942864,0.36578,0.978299,0.133844,1
0.348471,0.308927,0.849398,0.26229,0.963622,0.06892,1
0.210777,0.206366,0.897258,0.479985,0.865729,0.230526,3
0.100318,0.100278,0.949865,0.520555,0.96221,0.271052,5
0.174726,0.142264,0.931855,0.463086,0.974652,0.214467,1
0.323585,0.31057,0.846016,0.321644,0.924345,0.103628,3
0.353506,0.299418,0.855434,0.336354,0.932275,0.113213,1
0.886953,0.462069,0.806066,0.248998,0.940029,0.062045,2
0.466948,0.252599,0.89247,0.366929,0.94314,0.134687,1
0.130174,0.129265,0.935454,0.515419,0.927827,0.265709,1
